reviewerID,asin,overall,reviews,sentiment,year,month,day,helpful_rate,polarity,review_len,word_count
AKSFZ4G1AXYFC,B000068NSX,4.0,fender cable perfect length sometimes find bit long but dont mind build quality great know will last gripe cable metal sleeve gets unscrewed way easily requiring tighten oftensound quality not affected color cool definitely try cable outdurable instrument cable,Positive, 2013,08,13,0.0,0.36190476190476195,261,39
A67OJZLHBBUQ9,B000068NSX,5.0,wanted looks aloneit nice looking cord know will performas sam ash cord packed mailer inside another box roc n soc shipping team great worknever complaints love sam ash thanks amazonfender ft cali clear,Positive, 2013,07,9,0.0,0.44000000000000006,202,33
A2EZWZ8MBEDOLN,B000068NSX,5.0,ive using cables months holding pretty well years used seemingly indestructable guitar cables made electrician friend finally gave got habit using noname cables always display near register guitar center really impulse buy something put thought third fourth guitar center cable failed light use decided try cables not cheaper but seem holding better not terribly hard gear but cables tend get twisted move around cheaper ones eventually fail midcable dont mind spending extra dollars if cable little durable cable actually cheaper shipped holding pretty well actually reasonably priced cables kind limited life warantee product but havent needed five stars nicely made foot guitar cable costs shippedincidentally cables shielded meant connect instrument amps input not use connect amplifier speaker cab want use unshielded cables purposeedit months passed cable functioning without issues price things gone significantly although cable highly recommended probably better values hosa monster planet wavesso far good will revisit month mark,Positive, 2013,03,18,1.0,0.11562610229276894,1038,150
A1CL807EOUPVP1,B000068NSX,5.0,fender cords look great work well adding word california description im sure sound like beach boysadd california name jump,Positive, 2013,08,7,0.0,0.5666666666666668,122,19
A1GMWTGXW682GB,B000068NSX,4.0,cool looking cheap cable works well bent one connectors pretty badly but fault one thing consider cable tighten connectors awhile youll able hear rattle seems retro look screw connectors black rubber but cable looks cool works welli also shorter red cable goes one guitars perfectly bought theses use practicing others use black cables easier plug different amps without cutting someone accident green cable good thatcheap cool looking good length,Positive, 2012,03,16,0.0,0.17291666666666666,447,69
A2G12DY50U700V,B000068NSX,5.0,fender feet california clear instrument cable lake placid blue good extra cord good pricefender feet california clear instrument cable lake placid blue,Positive, 2014,01,29,0.0,0.1111111111111111,151,22
A3E0CF25A7LD2,B000068NSX,4.0,good cable well made looks great candy apple red tele reason gave stars tends not lay flat floorguitar cable,Positive, 2012,12,8,0.0,0.36875,108,19
A2W3CLAYZLDPTV,B000068NTU,5.0,got cable run rockband keyboard controller maudio profire control midi pro tools works great firm fit solidly molded ends reputable branded cablea bit thin side but havent seen issue due anything couldnt go wrong time purchase prime eligibilityquality cable,Positive, 2012,07,5,0.0,0.05937500000000001,257,39
A398X9POBHK69N,B000068NTU,5.0,searching midi cables art foot controller came across hosa ones dollars realize would still happy price well high quality plastic metal connectors work flawlessly must realize feet overestimated wish longer connection racked sound modules will perfecti got great pricing but still really good product,Positive, 2013,10,31,0.0,0.6433333333333334,300,44
AXWB93VKVML6K,B000068NTU,4.0,cant go wrong great quality budget price hosa go need hook things upits hosa,Positive, 2013,07,3,0.0,0.15000000000000002,76,14
A2FZ4Z0UFA1OR8,B000068NTU,5.0,ends midi cable look feel like quality connection secure no worries uneven connections also detaches without hitch highly recommendedquality secure,Positive, 2012,01,25,0.0,0.19,147,20
AXP9CF1UTFRSU,B000068NTU,5.0,trying find midi midi task make sure pin config correct one good product works finemidi midi,Positive, 2013,10,15,0.0,0.6,92,16
A2CCGGDGZ694CT,B000068NVI,4.0,hosa xlr cables affordable heavily madei large mixer rack cables everywherei decided purchase shorter cables hosa cables measurement worked perfectlyyou really will not disappointed thesevery heavy cables affordable price,Positive, 2012,07,11,1.0,0.07785714285714286,221,29
A27DR1VO079F1V,B000068NVI,5.0,bought go board amp use mobile church take beating still going strongstill going,Positive, 2014,02,19,0.0,0.0,80,13
A1LQC225SE8UNI,B000068NVI,5.0,sturdy cord plugs inexpensive good value dont require professionallevel equipment cord serves purposes well satisfied purchasedoes supposed,Positive, 2012,05,26,0.0,0.6,139,17
AU9BPT3Y3K6J4,B000068NVI,5.0,use every week gigs solid no problems solder joints good quality cable good pricegood cable,Positive, 2013,08,10,0.0,0.4666666666666666,91,15
A14Z9LAETO21KL,B000068NVI,4.0,hosa products good bang buck havent looked specifications but im guessing wire awg but since long good enoughgood enough,Positive, 2014,03,11,0.0,0.33749999999999997,120,19
A2074KEJGRYJV4,B000068NVI,5.0,exactly voice touch needed small cord connect mic voice touch perfect used foot cord go inches highly recommend keep mic stand voice touch stand connected device vocalsgreat little cord,Positive, 2013,09,16,0.0,0.19449999999999998,185,29
A7TRK2GG6BHWD,B000068NVI,5.0,bought really long mike cords solo live show really nice cords if home portastudio recording studio like needs spaghetti trip place bought two use digitech live harmony processor two xlr mike cords required make operational good price hard find mike cords usually longer ones obtainabledoes job need,Positive, 2012,01,6,0.0,0.1401515151515151,299,47
A319B090A2POEB,B000068NVI,4.0,cable seems like will last used connect di box will not get abused much vocal mics always dodecent mic cable,Positive, 2012,02,12,0.0,0.1,108,20
A396ELNTQDFYPO,B000068NVI,4.0,not greatest but theyre cheap get fast need ive one fail ive bought many use broadcast studioamazon first place go need cables audio video computers concert lightinggood music alldecent inexpensive cable,Positive, 2013,09,16,0.0,0.05833333333333334,203,31
A17CU1D2CWXOHB,B000068NVI,4.0,fine cable decent price point nothing exceptional mind but gets job done well enougha fine cable,Positive, 2013,12,15,0.0,0.4166666666666667,96,16
A1S0HTDO0P4N5V,B000068NVI,5.0,ive used lot cables always come back hosa indeed best audio cables price range markethosa best,Positive, 2013,09,17,0.0,0.6666666666666666,94,16
A3DWQW2L39RB1S,B000068NVI,4.0,bought cord returning cheap one shouldve known better buy son experience musician recommended hosa brand seeking proper replacementi bought small home recording setup includes behringer condenser microphone behringer xenyx mixer ends make reliable connection board mic sound quality excellentan excellent value moneyexcellent quality exactly needed,Positive, 2012,12,14,0.0,0.32857142857142857,348,45
AQQ91U1U4YKDF,B000068NVI,5.0,nice solid cables excellent support ends last lifetime usage no problem needed connect tube preampgreat value,Positive, 2013,06,29,0.0,0.4,109,16
AA5TINW2RJ195,B000068NW5,5.0,good quality cable sounds goodfive stars,Positive, 2014,07,15,0.0,0.7,40,6
ABC68JUCPTVOE,B000068NW5,5.0,zero issues cable far feels fairly cheap light weight but survived months plugging unplugging packing practice spacesill update review ifwhen breakspretty cheap cable lasted far,Positive, 2012,03,31,0.0,0.28,177,25
A3W2E6S24BTXXK,B000068NW5,5.0,realtively inexpensive patch cable electric guitari months far held pretty wellvery nice cable,Positive, 2014,05,28,0.0,0.31666666666666665,94,13
A3872Y2XH0YDX1,B000068NW5,5.0,bought wanted cheap replacement cable one short im pleasantly surprised cable decent sound decent build quality good pricenice guitar cable even better price,Positive, 2013,03,13,0.0,0.3041666666666667,157,23
A398X9POBHK69N,B000068NW5,4.0,nice cable price already bent one end though fortunately still works fine inside phono connector wires covered white shrink plastic havent noticed hum crackles sure good buydoes want,Positive, 2014,01,6,0.0,0.4361111111111111,182,28
A13A81NN0NRD1S,B000068NW5,4.0,cheap good texture rubber not get stiff time will tell well soldering sounds fine meflexible soft rubber great,Positive, 2010,11,18,0.92,0.3670634920634921,110,18
A1EUO0BU72JR7T,B000068NW5,5.0,seems sturdy enough no noise issues im pretty much satified doesnt leave house im not asking handle lot but reasonable care last whileworks wonderfully no noise,Positive, 2013,06,27,0.0,0.025000000000000005,160,26
A1H4WSC8JWS59N,B000068NW5,5.0,im not professional but playing many many years best cord ive ever though im sure eric clapton something betterexcellent,Positive, 2013,01,30,0.0,0.49000000000000005,120,19
A3OXHLG6DIBRW8,B000068NW5,5.0,hosa cable well made good quality connectors nice long length son expanding collection amps effects pedals needed additional cables get everything connected cable gives flexibility move around sturdy enough take stepped pulled aroundthe cable works well good value decent quality cablehighly recommendedcfhgreat guitar cable good value highly recommended,Positive, 2012,09,5,0.0,0.3720833333333333,354,48
A12ABV9NU02O29,B000068NW5,2.0,didnt expect cable thin easily thickness guitar cable ive used not sure longterm durability signal lossinterference if foresight id spend couple extra bucks thicker cable still works inexpensiveedit months later dead already wire frayed right angle jack get pay forcannot recommend,Negative, 2011,07,6,1.0,-0.018707482993197282,281,41
A2U1Z3TZ4P76JB,B000068NW5,5.0,bought daughter along new guitar seems work well no issues first couple weekscable works described,Positive, 2014,03,5,0.0,0.19318181818181818,98,15
A1L7M2JXN4EZCR,B000068NW5,1.0,hums crackles think im problems equipment soon use cords problem gone hosa makes products good value but based experience dont recommend onei bought many cables one one gives problems,Negative, 2014,02,9,0.0,0.6,183,29
A37A41GWQFMK3D,B000068NW5,4.0,not hard cables typically plug guitar dont move around much play hour two day one seem perform fine no buzz andor noises noted several performed wellgets job done,Positive, 2013,06,8,0.0,0.11916666666666668,162,28
A2JK2ITE138P7Z,B000068NW5,5.0,found hosa cables excellent value expensive cables may rugged but price im happy hosas purchasednice cable price,Positive, 2014,05,13,0.0,0.43333333333333335,112,17
A1DVUFG2QSJ6IK,B000068NW5,5.0,good cable excellent plugs lugs solder joints covered heat shrink material will hold everything place years grade cable affordable price definitely going back ft cable couple dollars ftwell made audio cable,Positive, 2013,10,8,0.0,0.425,206,31
A34VZEFXQJJ7AT,B000068NW5,5.0,pretty crappy cable works gets job done but purchasing product using will shell extra bucks better qualityeh,Positive, 2013,07,25,0.0,0.25,108,17
A1SD1C8XK3Z3V1,B000068NW5,5.0,use cord church run pedalboard amp soundproof box cord reliable clean sounding like used hosa products past confidence excellent cord hopefully review will usefull yougreat affordable cord,Positive, 2014,02,12,0.0,0.37222222222222223,188,27
AKHWZ3S1UVZAO,B000068NW5,4.0,second hosa guitar cable one shorter like first hosa cable high quality item id definitely buy cables brandnice cable,Positive, 2014,04,18,0.0,0.10250000000000001,117,19
A3LNNEYLGGCO25,B000068NW5,3.0,works practice guitar instrument cable say maybe not best but serves purposemaybe not best but serves purpose,Neutral, 2014,07,5,0.0,-0.5,109,17
AMACM7BGUQCZD,B000068NW5,5.0,cables taken beating last months served well no problemsreal metal ends not molded high quality silicone jackets strain reliefs connectorshigh quality low cost,Positive, 2014,01,24,0.0,0.05333333333333334,159,23
A38HMS5RYSYF8G,B000068NW5,5.0,opinion not hurt extra guitar cables around experience tend die without notice feeling one will last long time built sturdy sounds really goodi recommend productworks advertised,Positive, 2014,01,13,0.0,0.037500000000000006,177,26
A6D91KPQGIDKZ,B000068NW5,5.0,hosa guitar cables work great never problems several different lengths sound perfectgood cables,Positive, 2012,07,23,0.0,0.30000000000000004,95,13
A2RCCN4KEXZGC8,B000068NW5,5.0,product exactly supposed decent price absolutely no complaints first experience brand not disappointedno complaints,Positive, 2013,08,25,0.0,0.14166666666666666,115,14
A3GAP455S8YH0M,B000068NW5,5.0,good quality guitar cordvery low noise repairable effective strain releafthick rubber cover great buy bucks quality cordof course got itit might not durable but looks durableif change mind anything will update reviewfor would say buy onejoegood quality,Positive, 2013,07,6,0.0,0.5249999999999999,252,37
A1N06X05VZWO5Y,B000068NW5,5.0,good solid cable no problems im stage like longer cable but practice dont need extra length tangleing everythingperfect practice,Positive, 2014,02,3,0.0,0.2333333333333333,128,19
A3TA1UJWRJF9NC,B000068NW5,5.0,guitar cable nice looks high quality white ends fantastic deal cablenice high quality guitar cable,Positive, 2010,12,29,1.0,0.264,98,15
A3VPISTBNS66C5,B000068NW5,4.0,good product good price used multiple times works well guitar speaker great friends come jamworks well,Positive, 2013,01,25,0.0,0.55,102,16
A1E5FQZTUM8OC1,B000068NW5,5.0,item well built like terminal ends spring built arent going durable road cables but home light road use will work wellwell built cable,Positive, 2013,07,15,0.0,0.4,134,23
A3MYWHYZ30WLQJ,B000068NW5,5.0,amp plug great price ft long perfect size jammin home quality look aesthetically totally worth pricepperfect amp chordfor home use,Positive, 2013,08,29,0.0,0.5125,130,20
A1FHOW9NVOH8XR,B000068NW5,5.0,hosa cable guitar instrument cable high quality instrument cable but low cost wont break bank im satisfied purchasehosa cable guitar instrument cable,Positive, 2013,02,4,0.0,0.22,149,22
A319B090A2POEB,B000068NW5,3.0,unbalanced guitar cable notoriously noisy especially around florescent lights no different would prefer use cables better shielding but cannot justify expense considering rarely things get usedstandard guitar cable,Neutral, 2012,02,12,0.0,0.2,214,28
A2VH0UT5EQFB6P,B000068NW5,5.0,basic black electric guitar cable but works great far connections ends solid sound amp great nice rubbery feet long enough if problems arise later cable will update review but no problems whatsoever cablehosa electric guitar cable,Positive, 2014,01,16,0.0,0.22575757575757577,230,36
A396ELNTQDFYPO,B000068NW5,4.0,hosa cable quality place products good sound good reliable long lasting products not good affect sound negatively break prematurely short useful life spanthese guitar cords actually quite nice feel good gooey soft rubber jacket like mogami sound good far working reliably rubber jacket diameter eye short heat shrink overwrap add strength wire enters plugi bought needed cables fast internet concert lots pedals signal splits connect cables arrived good working condition weve using continuously sincewe dozen tube amps particular sound degradation but far cables not disappointed anyonei would buy if needed themso far good,Positive, 2013,01,21,0.0,0.2746794871794872,624,93
A2WYAHJGST6AOT,B000068NW5,3.0,cable no frills tangles pretty easy due design might rattle little move around but works like shouldaverage cable,Neutral, 2014,02,26,0.0,0.09270833333333334,113,18
A781ITP3HE2N5,B000068NW5,5.0,never really considered cheaper cable always taught get best could afford showed cable search amazon jumped figured nothing loseto surprise excellent cable good build quality strong thick jacket inspires confidence sound identical monster cables cost one quarter pricehmmmm guess tried figure instead listening many years will never againthis worth money twice try kiss overpriced cables goodbyegood quality low price,Positive, 2013,10,4,0.0,0.3933333333333332,417,59
AN73VQ17FZVJ8,B000068NW5,3.0,one end loose tightened keeps coming loose put dab crazy glue threads hope dont ever open end repairgood price,Neutral, 2013,06,14,1.0,-0.18846153846153846,110,19
ALUTHT4U058KZ,B000068NW5,4.0,price fantasticthey feel light dont trust build quality key stress points cable meets connector but not going push itset guitar down accident plugged andwho knowsbut seven bucks gets job done recommended if beginner thing testing watersotherwise spend bucks something higher chances lastingfeel little flimsy see easily breaking but work,Positive, 2012,04,17,1.0,0.12337962962962963,337,49
A1A15ECLHM9BQY,B000068NW5,5.0,hosa makes good stuff no exception ive trusted years cant think if single hosa cable ive owned thats failedexcellent,Positive, 2014,07,10,0.0,0.3142857142857143,116,19
A1S8R9OAIQT7YI,B000068NW5,4.0,complaint size fault if buy least foot if plan use stageonly complaint size fault,Positive, 2014,06,28,0.0,-0.3,81,14
A3RHT4KI3H5TVH,B000068NW5,5.0,hard day much but works great no issues speak job perfectly wellworth,Positive, 2013,09,23,0.0,0.42708333333333337,69,12
AVY8D3ULJTX0H,B000068NW5,5.0,price works really well see no faults unscrew pretty easily but hardly problem right nowworks,Positive, 2013,01,8,0.0,0.17547619047619045,93,15
A15BHBF0L0HV1F,B000068NW5,5.0,cable disproves notion get pay quality outweighs price lets face cable cable cable but quality cables vary greatly replaced lighter cable one surprised difference quality sound amp ibanez art series guitar ibanez watt amp set home nothing changed but cable significant difference quality volume much checked guitar teacher said not surprised quality appears good ends heavy duty little bit hum due proximity everything attenuated point inconsequential ive seen expensive cables one far greathosa guitar cable ftgood quality great price,Positive, 2011,11,2,0.0,0.18557692307692306,535,79
A1AFN4T80DZ3RR,B000068NW5,5.0,looking long cable perform live band im glad hosa quality feels reliable without adding noisevery good quality excellent price,Positive, 2013,11,8,0.0,0.4572727272727272,126,19
A3DCG2MNPR4BW,B000068NW5,5.0,good cables good price not sure would hold heavy use but practicing home really greatgood cables good price,Positive, 2013,05,22,0.0,0.3083333333333333,107,18
A3NGAQKJ6X088B,B000068NW5,5.0,sturdy high quality little no feedback use performing friends love itworks well great quality,Positive, 2014,06,16,0.0,0.318125,93,14
A35XRT4BW4I6UD,B000068NW5,5.0,unless youre going go top line expensive professional chords will medium sized venuegreat value,Positive, 2012,09,7,0.0,0.03333333333333333,95,14
AKYDGCKCY7H9F,B000068NW5,5.0,many lengths hosa cables neverhad problem themi not active musician not put throughthe riggers happens stage cannot comment thistype usagein years stage come realize thatyou always extra cables like strings aseven expensive cables will sometimes let downgood cables,Positive, 2013,10,10,0.0,0.016666666666666663,265,38
A19NGYCQ1NCF3W,B000068NW5,4.0,ive using weeks strong but flexible dont seem develop kinks bending habits if roll proper wayive seen used better cables but not price point ive certainly seen quite worse pretty good sweet spot opinionvery solid cables,Positive, 2011,01,21,1.0,0.2275132275132275,219,36
A3UD50M7M72150,B000068NW5,1.0,im procheapo hated thing theyre noisy cables feel really cheap gummylike drop bucks get something elsecrap,Negative, 2014,03,14,0.0,-0.25,106,16
A2B78RXJ2PB6ZD,B000068NW5,5.0,works great watt amp almost compares monster cable length plenty room guitar amp good productworks good no complaints,Positive, 2012,02,4,0.0,0.7333333333333334,117,18
A18RGYRCEN181M,B000068NW5,5.0,good cable good expensive brand thick bit stiff seems shielded no complaints allgood guitar cable,Positive, 2013,12,10,0.0,0.07714285714285711,97,15
A18LZ6VHS4DK69,B000068NW5,5.0,lots hosa cables cheap quality ive recieved one bad cable around use lot guys if work get havnt failed yethosa rocks,Positive, 2013,02,15,0.0,-0.2666666666666666,116,21
AQG6AQXC703WD,B000068NZC,3.0,decent cable job but leaves much desired far structural integrity concerned mating part connector jiggles back forth switch also loose connector will move around microphone without switch pressedi would not recommend using cable critical applications would suited home hobby usedoes job,Neutral, 2014,03,26,0.0,0.06495726495726496,286,41
A2YGWCX3DQ6ER0,B000068NZC,5.0,cable great connecting directly computer microphone record live without console mixer great recomendedgood direct connect computer,Positive, 2013,06,30,0.0,0.3872727272727273,130,16
A21VM9WVF8EOSJ,B000068NZC,5.0,bought hook beta panasonic dslr kodak interviews works way supposed degree trs nice touch good pricedoes intended,Positive, 2011,12,6,1.0,0.6499999999999999,113,17
A3M48SSAOTBSMW,B000068NZC,5.0,received cord seems work expected say adapter cord well made good construction sound dslr mic superbworks expected,Positive, 2012,04,25,1.0,0.225,114,17
AFLRU6952DEFX,B000068NZC,4.0,if youre like probably bought hook xlr microphone digital recorder pcit works fine handy type recordersbut forget hooking directly pc way much noisegood uses,Positive, 2014,04,7,0.0,0.2633333333333333,157,24
A1W3CEEQBJ4GTN,B000068NZC,2.0,bought canon vixia hf video camera shotgun mic recently purchased needed wire perfect fit mic mounted mini advanced shoe microphone plug video camerathe wire thing not foot long actual wire long would returned thing but cheap enough wasnt worth hassle id rated star but tried nikon shoe mounted shotgun mike worked ok still tight fit though since theres wireid recommend anyone looking short cable go adapter worst case scenario ziptie loop instead getting angry doesnt fitalso not sure if wire didnt affect stars but hear hiss recording unsure if way wires stretched max dslr not shotgun micmeasure damned wires sending,Negative, 2013,09,16,0.0,0.07341269841269839,620,100
AXP9CF1UTFRSU,B000068NZC,5.0,well made xlr pin adaptor mini needed get real xlr mic computer jobrecommend,Positive, 2013,05,26,0.0,0.2,76,13
A1IR3NR4KRPIJ1,B000068NZG,5.0,listing item confusing if not sure stereo xlr stereo xlr meant similar stereo headphones left right separate unbalanced wires cable configured stereo unbalanced xlr stereo unbalanced trs cable item not mono balanced xlr stereo unbalanced mic cablea little bit soldering fix connector moving red wire ping pin white wire pin ties pin ground wireproduct shipd expected but listing item confusing,Positive, 2013,06,20,0.0,-0.08517857142857144,393,60
A2NYK9KWFMJV4Y,B000068NZG,5.0,first reasons awarded five stars construction uniformly excellent ends strain reliefs connecter perfectly mates plug insert xlr end quality componenti purchased specifically transform third channels mypowerwerks watt personal pa systeminto something useable greatly expands functionality versatility portable pa allowing plug another mic since three units daisychained able significantly enhance entire system simple adapteranother reason love noise free environments play sources electromagnetic interference cheap cables will pick transmit not problem one another plusoverall pleased adapter actually purchased spare case damage lose primary one bit pricier others considered but feel quality peace mind worth premiumsolved big issue,Positive, 2013,06,25,0.0,0.3569444444444445,735,95
A2RS66Y79Q8X0W,B000068NZG,5.0,use cable run extra line microphone podiums zoom adapter never failed instrumental capturing quality audio live events several love themi highly recommend adapter visual audio professional also check hosas sinlge xlr double xlr splittergood adapter cable,Positive, 2014,05,22,0.0,0.1273737373737374,254,36
A34IJACMU8C3IM,B000068NZG,4.0,adapter cable stereo mics work small dv cameras will function but caveatsfirst construction pretty light weight means will gentle using thats something none us broadcast production field want worry since gear gets pretty beat upsecond adapter one foot length cable pretty short may not reach wherever mic input jack camera means would need another short xlr mic cable extend mic adapterso aware may work fine not work others went sam ash music found similar adapter cable heavy duty longer cable price pays shop aroundlight weight cable stereo mics limitations,Positive, 2008,12,15,1.0,0.13055555555555556,560,89
A2WYF4POBUXL2O,B000068NZG,4.0,well made works however seem getting little bit noise shotgun mic straight usual expectedto see if mic cable adapter tested going straight zoom recorderseems little but noise going adapter cable straight xlr inputno big surprises minor clean postgood construction,Positive, 2012,12,30,0.0,0.03240740740740741,263,39
A3UPEG3LRWOX16,B000068O1N,4.0,havent used yet but if like cables company work finenice cables,Positive, 2013,12,25,0.0,0.0,63,11
A2QJQ3HSJB4NS,B000068O1N,5.0,great stereo sound keyboardsmy keys single stereo cable needed get convert true channel stereo could eq properly worked like charm highly recommend cableperfect,Positive, 2013,01,13,0.0,0.2730952380952381,160,23
A1MVH1WLYDHZ49,B000068O1N,5.0,another quality product hosa needed insert patch mixer eq always like slightly longer length always zip tie back but hard stretch no noise cablegood insert cable,Positive, 2013,11,11,0.0,-0.1527777777777778,161,26
A2XXBZPQT5EXHV,B000068O1N,5.0,ordered wasnt expecting whole lot since price two dollars nearly cable turns quality quite excellent cables not flimsy plugged mixer waited hear static interference buzz explain low price got nice clean signal highly recommend anyone mixer needs insert cableexcellent insert cable,Positive, 2014,02,17,0.0,0.36583333333333334,280,41
A204ETWOV23HO4,B000068O1N,5.0,solid cables tight fit receptacles no introduction noise no discernible loss signal especially considering price brilliant like reviewers wondering if economical cable could good but trusted judgment gave try count among werent sure but become convinced hosa knows make great cable without need charge monster pricesthey work great,Positive, 2013,07,11,0.0,0.42214285714285715,331,48
A203OCQQ12MAVT,B000068O1N,5.0,mixer sendreturns plug using wire trs send tip return ring common ground but effects boxes like separate tr ins outsthis perfect cable hookup things like behringer sharkbehringer shark automatic feedback destroyerto sendreturnsmackie compact recordingsr mixeri probably will order second cable seen well first one worked sendreturni needed returns,Positive, 2011,10,16,0.0,0.2375,347,48
A319B090A2POEB,B000068O1N,5.0,still operate analog environment quite often end using lots inserts channels compression limiter gate expander plus various eqs effects processors need routed applied specific channels insert snake use well but individual insert cables differing lengths carry lifesavers make efficient soundman setup flexible soundman showsoundman must insert cables,Positive, 2012,02,12,0.0,0.0,350,47
A3JUQ2E799OC5B,B000068O1N,5.0,use home studio inserts work great no complaintson side note always clean cables caig deoxit gold spray contact conditioner ozand hightly recommend musicians will hear differnce also spray qtip clean jacks guitars instrumentsgood price vs value works great home studio,Positive, 2011,02,15,0.0,0.5833333333333334,268,40
A2PN3GY7I3EKC1,B000068O1N,5.0,need audio insert cable need audio insert cablewe custom manufacture insert cables custom soundreinforcement fixed installations mobile rigs mixer cases processing gear simply not cost effective hosa goto brand reliability durability brands but reputation stakehosa allows us maintain good reputation lowering labor costs thanks dependable product hosa thanks great price amazonjust right product right price,Positive, 2013,10,8,0.0,0.3523809523809523,408,55
A1FCX548TD6DLP,B000068O3D,5.0,play ipod small guitar amp great way wake kids works perfectly purpose keep mind small end ipod stereo large end goes amp mono if needing stereo jack ends get something elseuse plug ipod guitar amp,Positive, 2014,03,26,1.0,0.3028571428571428,197,35
A35D9ODUCAMF5G,B000068O3D,5.0,plugged works connect mono line stereo input lepai amp not much else tell youplugged works,Positive, 2013,01,26,0.0,-0.1,90,15
A3UETHIJBL6MCV,B000068O3D,5.0,bought hook ipodsiphones live stage sound systems not stereo anyway use stereotomono adapters separate channels not needed perfect solution seems durablesound engineers solution,Positive, 2012,02,16,0.0,0.5121212121212121,177,23
